id, O3727_error, O4959_error, O5007_error, Hbeta_error
6057.0,21.52,23.5639,18.079,18.4917
10462.0,16.4071,9.5231,10.2349,14.6946
10902.0,41.3602,24.8983,25.9696,46.4917
25243.0,44.2376,24.545,33.5202,55.3985
25361.0,21.4219,25.3286,14.6472,20.4773
28099.0,14.3659,8.2545,13.2854,7.7837
28616.0,43.9634,34.3977,32.9298,38.4352
29014.0,11.2992,13.9068,12.9383,18.098
29906.0,17.4073,14.2659,16.3231,11.0499
30968.0,16.9145,30.521,20.3727,13.7699
32841.0,17.0391,8.1695,12.8212,11.0658
36641.0,37.9391,25.2751,30.3735,39.578
37170.0,35.0912,18.3028,20.7719,26.6821
39409.0,18.3678,18.047,16.255,16.6529
40560.0,41.8106,34.5532,38.5889,36.8526
41325.0,45.966,62.4303,51.614,39.7521
53400.0,21.0103,12.3756,17.0876,27.5159
54672.0,33.3653,18.2925,27.7117,31.1472
55210.0,11.6751,8.9683,14.1983,9.5821
55866.0,14.7903,15.2941,14.1056,14.7629
56054.0,27.4456,17.3391,31.0148,81.2857
56919.0,15.5845,17.3211,15.1989,14.3301
58707.0,30.3136,21.2822,23.3968,18.2751
58710.0,31.7051,19.9684,31.5722,23.7375
59928.0,29.2473,8.7277,21.2625,18.6347
60186.0,23.7397,19.9648,33.0539,24.2097
61242.0,30.7849,36.8198,21.998,32.3736
61327.0,17.6426,8.4637,8.1372,8.8453
64754.0,17.0559,10.5925,10.1372,13.1331
65508.0,15.9697,16.9533,22.5586,17.5576
65699.0,14.1311,13.823,14.694,11.6385
67141.0,35.6602,13.167,21.3675,33.095
68343.0,120.9324,25.2826,60.9926,47.9116
68830.0,51.2734,21.7674,39.981,25.795
69628.0,20.8181,25.24,28.724,15.9751
69821.0,20.7763,21.433,17.6505,10.4217
70416.0,25.2569,22.5861,24.3879,17.7803
70987.0,22.9271,15.6933,27.5142,18.5683
73754.0,14.9622,38.3141,11.9128,14.023
75936.0,32.089,12.1297,15.607,18.9082
76238.0,17.088,15.9105,12.2134,12.4201
76997.0,17.6433,23.9141,25.5555,19.2967
80044.0,27.103,15.2837,30.3312,41.8479
83849.0,13.0515,5.447,13.4766,16.5851
84726.0,16.6959,13.2406,18.1521,15.869
85528.0,23.389,11.9576,20.1725,15.1471
86610.0,33.0441,21.5346,16.4413,11.6711
86943.0,22.9705,16.8167,16.6871,13.968
89153.0,16.3475,18.3168,21.6178,18.2923
89711.0,8.8064,8.5644,7.0751,11.2793
90258.0,49.4062,47.83,57.5801,58.3143
91840.0,24.2201,16.7993,17.1619,18.9033
92377.0,28.3307,19.8934,13.7028,19.8211
97159.0,7.6153,6.0969,6.2342,9.1839
101417.0,9.3138,6.404,10.4433,8.0461
101992.0,10.5395,8.4466,9.374,7.2312
102571.0,19.4207,14.152,20.1738,12.9241
103155.0,38.8392,19.5498,21.4423,44.9837
105346.0,10.6919,10.0115,12.9815,14.0272
105701.0,28.3652,22.5506,20.1483,39.7982
108440.0,35.8326,12.627,15.0839,36.6624
108513.0,14.8815,24.4663,15.1276,11.7691
109010.0,14.6797,15.9196,39.2301,18.5986
110242.0,69.3102,37.5812,57.4614,31.8388
110586.0,14.5698,11.568,12.1563,11.9938
110979.0,19.5684,15.353,13.6014,16.6956
113408.0,7.5271,12.664,13.9006,6.8727
113551.0,32.2204,22.7793,27.9823,27.5071
117124.0,19.4875,16.4986,18.0733,17.1008
117232.0,17.4988,8.6254,11.9243,14.1189
118390.0,12.7146,8.6101,10.9408,10.2324
119313.0,50.5984,24.2493,25.7718,39.5244
121595.0,28.0124,10.0864,31.1979,20.1106
122765.0,15.8674,7.9393,12.5467,12.5227
124727.0,12.8436,17.9733,8.9205,14.7369
125253.0,19.9251,21.36,41.51,22.787
127745.0,21.0811,16.2227,49.052,26.2543
128528.0,14.0261,12.0479,23.2983,15.8784
128659.0,16.361,13.755,23.5251,17.8436
129027.0,6.731,13.7691,8.5712,7.8616
130576.0,26.9041,17.6915,24.5185,28.6348
131198.0,34.747,12.5886,24.1379,29.5403
